# object: IRC+10216
# time: Mon Jun  5 21:13:50 2017
# number of values:         1200
# wave      flux          stdev           line
      4.21501      8478.11      12.8923           5
      4.22557      8514.61      13.7434           5
      4.23614      8582.21      16.1958           5
      4.24675      8675.21      18.1708           5
      4.25738      8754.80      15.6519           5
      4.26803      8788.90      9.47897           5
      4.27872      8816.19      8.81536           5
      4.28943      8863.66      12.0340           5
      4.30016      8953.98      15.7573           5
      4.31093      9047.24      14.2705           5
      4.32172      9142.58      17.2185           5
      4.33254      9202.05      9.41138           5
      4.34338      9248.28      15.1824           5
      4.35425      9309.15      13.3281           5
      4.36515      9385.08      23.9948           5
      4.37608      9518.53      18.1646           5
      4.38703      9618.65      14.4340           5
      4.39801      9674.48      11.4297           5
      4.40902      9734.54      15.6788           5
      4.42006      9774.45      9.94917           5
      4.43112      9819.52      14.2033           5
      4.44221      9907.20      14.9331           5
      4.45333      10018.7      17.4201           5
      4.46448      10078.9      12.9459           5
      4.47566      10108.6      16.0642           5
      4.48686      10136.0      14.3454           5
      4.49809      10221.1      28.1308           5
      4.50935      10330.0      18.8285           5
      4.52064      10389.6      21.8838           5
      4.53195      10452.0      27.9778           5
      4.54330      10507.6      20.3084           5
      4.55467      10522.2      17.3526           5
      4.56607      10551.4      24.0597           5
      4.57750      10641.1      31.9540           5
      4.58896      10750.6      33.8505           5
      4.60045      10789.0      25.3923           5
      4.61196      10794.9      30.4410           5
      4.62351      10879.4      37.1217           5
      4.63508      11004.4      21.3387           5
      4.64668      11045.5      24.4370           5
      4.65831      11116.8      33.6169           5
      4.66997      11157.5      23.5795           5
      4.68166      11215.3      35.9992           5
      4.69338      11326.3      37.6559           5
      4.70513      11395.4      48.7404           5
      4.71691      11439.3      38.7024           5
      4.72871      11438.8      35.9497           5
      4.74055      11465.5      44.7492           5
      4.75242      11590.5      41.5184           5
      4.76431      11760.2      39.2261           5
      4.77624      11893.5      39.1202           5
      4.78819      11963.5      33.8182           5
      4.80018      12001.6      40.0346           5
      4.81219      12085.9      50.7319           5
      4.82424      12209.5      50.5281           5
      4.83632      12238.8      32.4988           5
      4.84842      12240.5      22.3509           5
      4.86056      12250.9      18.1085           5
      4.87272      12254.8      27.5497           5
      4.88492      12350.6      38.8718           5
      4.89715      12440.2      30.8594           5
      4.90941      12490.4      33.7568           5
      4.92170      12512.5      26.7356           5
      4.93402      12534.9      26.2138           5
      4.94637      12650.0      36.4150           5
      4.95875      12787.3      31.6128           5
      4.97116      12822.6      26.2658           5
      4.98360      12796.6      26.9075           5
      4.99608      12830.2      28.8920           5
      5.00858      12954.0      31.3020           5
      5.02112      13126.1      37.9100           5
      5.03369      13178.0      26.8095           5
      5.04629      13148.2      21.6536           5
      5.05892      13174.8      22.8883           5
      5.07158      13233.1      24.6282           5
